Age,Address,Gender,UserType,Label,Total_Quantity,Total_Value,StDev_Quantity,StDev_Value,AvgTimeDelta,Recency,Unique_TransactionId,Unique_ItemId,Unique_Location,Unique_ProductCategory,Total_Quantity_per_Unique_TransactionId,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_Location,Total_Quantity_per_Unique_ProductCategory,Total_Value_per_Unique_TransactionId,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_Location,Total_Value_per_Unique_ProductCategory,Scored Labels,Scored Probabilities
D,F,Unknown,Unknown,Churner,29,1517,0.920662287496912,43.3450167399953,0.285714285714286,88,21,17,1,1,1.31818181818182,1.61111111111111,14.5,14.5,68.9545454545455,84.2777777777778,758.5,758.5,Churner,0.25581375385529814
C,F,Unknown,Unknown,Nonchurner,101,6415,3.90838504120466,106.093923647496,1.03174603174603,0,63,44,1,1,1.578125,2.24444444444444,50.5,50.5,100.234375,142.555555555556,3207.5,3207.5,Nonchurner,0.7718094303900301
C,F,Unknown,Unknown,Churner,4,220,0.577350269189626,75.2351868033391,0.0,70,3,3,1,1,1.0,1.0,2.0,2.0,55.0,55.0,110.0,110.0,Churner,0.18274095930562143
E,E,Unknown,Unknown,Churner,34,2300,0.800432783369497,80.6962129711103,4.09090909090909,7,22,15,1,1,1.47826086956522,2.125,17.0,17.0,100.0,143.75,1150.0,1150.0,Nonchurner,0.5129834468087483
B,E,Unknown,Unknown,Churner,1,39,0.0,0.0,0.0,40,1,1,1,1,0.5,0.5,0.5,0.5,19.5,19.5,19.5,19.5,Churner,0.21916151475743023
C,G,Unknown,Unknown,Churner,9,1368,0.353553390593274,162.110191800868,0.0,56,8,7,1,1,1.0,1.125,4.5,4.5,152.0,171.0,684.0,684.0,Churner,0.225271732869843
E,E,Unknown,Unknown,Nonchurner,201,16646,0.548388724812316,84.1234753749744,0.55421686746988,5,166,75,1,1,1.20359281437126,2.64473684210526,100.5,100.5,99.6766467065868,219.026315789474,8323.0,8323.0,Nonchurner,0.9557249986962394
C,F,Unknown,Unknown,Churner,53,4083,0.627743640567234,58.5190719456189,0.0,38,39,32,1,1,1.325,1.60606060606061,26.5,26.5,102.075,123.727272727273,2041.5,2041.5,Churner,0.4922426909793994
D,F,Unknown,Unknown,Churner,30,2235,0.262265264156481,64.1670583372915,2.46428571428571,11,28,25,1,1,1.03448275862069,1.15384615384615,15.0,15.0,77.0689655172414,85.9615384615385,1117.5,1117.5,Nonchurner,0.5175241545334988
I,E,Unknown,Unknown,Nonchurner,19,1071,2.63944438597722,182.981693073378,3.0,17,6,4,1,1,2.71428571428571,3.8,9.5,9.5,153.0,214.2,535.5,535.5,Churner,0.3633027499099771
B,C,Unknown,Unknown,Churner,60,5696,0.849076105280404,115.176127825255,0.488372093023256,60,43,32,1,1,1.36363636363636,1.81818181818182,30.0,30.0,129.454545454545,172.606060606061,2848.0,2848.0,Churner,0.45823335631429374
D,E,Unknown,Unknown,Nonchurner,20,319,0.750757193529548,21.4848784031933,7.90909090909091,3,11,7,1,1,1.66666666666667,2.5,10.0,10.0,26.5833333333333,39.875,159.5,159.5,Nonchurner,0.5262461633218557
I,E,Unknown,Unknown,Nonchurner,21,1963,1.34450448407296,172.7315296021,2.21428571428571,30,14,11,1,1,1.4,1.75,10.5,10.5,130.866666666667,163.583333333333,981.5,981.5,Churner,0.3592572700015007
B,E,Unknown,Unknown,Nonchurner,10,1035,0.534522483824849,73.6895030322695,1.0,59,7,5,1,1,1.25,1.66666666666667,5.0,5.0,129.375,172.5,517.5,517.5,Churner,0.23009945426437128
G,D,Unknown,Unknown,Nonchurner,40,1942,0.588418693737533,41.6633719127459,0.0,4,31,23,1,1,1.25,1.66666666666667,20.0,20.0,60.6875,80.9166666666667,971.0,971.0,Nonchurner,0.5072263813090756
C,E,Unknown,Unknown,Nonchurner,31,2353,0.456045181947149,106.835856737803,1.59259259259259,16,27,22,1,1,1.10714285714286,1.34782608695652,15.5,15.5,84.0357142857143,102.304347826087,1176.5,1176.5,Churner,0.4729459116998002
C,E,Unknown,Unknown,Churner,18,3817,0.414039335605413,301.363536202343,0.0,55,15,12,1,1,1.125,1.38461538461538,9.0,9.0,238.5625,293.615384615385,1908.5,1908.5,Churner,0.25485981975985966
J,E,Unknown,Unknown,Nonchurner,52,1966,2.12794232255917,74.0016379835097,4.27272727272727,0,22,11,1,1,2.26086956521739,4.33333333333333,26.0,26.0,85.4782608695652,163.833333333333,983.0,983.0,Nonchurner,0.561610994766509
B,E,Unknown,Unknown,Churner,29,3220,0.56790036318955,163.91796596804,2.27272727272727,17,22,16,1,1,1.26086956521739,1.70588235294118,14.5,14.5,140.0,189.411764705882,1610.0,1610.0,Churner,0.43634265723359356
E,F,Unknown,Unknown,Nonchurner,2,938,0.0,0.0,0.0,67,1,1,1,1,1.0,1.0,1.0,1.0,469.0,469.0,469.0,469.0,Churner,0.173529903405311
A,C,Unknown,Unknown,Churner,2,18,0.0,0.0,0.0,58,1,1,1,1,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,Churner,0.1913349890703218
F,F,Unknown,Unknown,Nonchurner,159,20413,2.73699076013286,311.430726259905,0.770833333333333,18,96,60,1,1,1.63917525773196,2.60655737704918,79.5,79.5,210.443298969072,334.639344262295,10206.5,10206.5,Nonchurner,0.8411547455921308
J,E,Unknown,Unknown,Nonchurner,4,178,0.577350269189626,60.5832760201471,18.0,36,3,3,1,1,1.0,1.0,2.0,2.0,44.5,44.5,89.0,89.0,Nonchurner,0.5785483159269206
C,F,Unknown,Unknown,Churner,19,1426,0.457737708217063,49.3825687387574,0.0,60,15,15,1,1,1.1875,1.1875,9.5,9.5,89.125,89.125,713.0,713.0,Churner,0.2723921327084811
H,G,Unknown,Unknown,Churner,4,363,0.577350269189626,58.38664230798,0.0,63,3,3,1,1,1.0,1.0,2.0,2.0,90.75,90.75,181.5,181.5,Churner,0.19279872674338758
E,F,Unknown,Unknown,Churner,32,4993,0.356348322549899,266.30031134061,1.75,31,28,24,1,1,1.10344827586207,1.28,16.0,16.0,172.172413793103,199.72,2496.5,2496.5,Churner,0.43159270377896336
E,F,Unknown,Unknown,Nonchurner,3,2412,0.0,441.030611182489,0.0,52,3,3,1,1,0.75,0.75,1.5,1.5,603.0,603.0,1206.0,1206.0,Churner,0.19857380176301406
D,E,Unknown,Unknown,Churner,7,585,0.957427107756338,111.992187227503,0.0,96,4,4,1,1,1.4,1.4,3.5,3.5,117.0,117.0,292.5,292.5,Churner,0.1523446656032559
H,C,Unknown,Unknown,Churner,1,239,0.0,0.0,0.0,16,1,1,1,1,0.5,0.5,0.5,0.5,119.5,119.5,119.5,119.5,Churner,0.2620582049909271
C,F,Unknown,Unknown,Nonchurner,95,5372,0.939858145324779,75.3822632589065,1.22368421052632,0,76,46,1,1,1.23376623376623,2.02127659574468,47.5,47.5,69.7662337662338,114.297872340426,2686.0,2686.0,Nonchurner,0.7919206160647992
C,E,Unknown,Unknown,Churner,29,5172,0.588348405414552,237.909549716176,0.0,11,26,16,1,1,1.07407407407407,1.70588235294118,14.5,14.5,191.555555555556,304.235294117647,2586.0,2586.0,Churner,0.39775429273709606
H,E,Unknown,Unknown,Nonchurner,4,46,0.0,9.89949493661167,23.0,44,2,2,1,1,1.33333333333333,1.33333333333333,2.0,2.0,15.3333333333333,15.3333333333333,23.0,23.0,Nonchurner,0.6510185720331602
J,E,Unknown,Unknown,Churner,12,1008,0.301511344577764,48.6277137592808,3.72727272727273,5,11,9,1,1,1.0,1.2,6.0,6.0,84.0,100.8,504.0,504.0,Churner,0.42097901994926457
C,G,Unknown,Unknown,Churner,10,482,1.03279555898864,65.5611673680897,0.0,95,6,6,1,1,1.42857142857143,1.42857142857143,5.0,5.0,68.8571428571429,68.8571428571429,241.0,241.0,Churner,0.16482545449124122
D,D,Unknown,Unknown,Nonchurner,8,827,0.377964473009227,46.6455734642584,1.57142857142857,6,7,7,1,1,1.0,1.0,4.0,4.0,103.375,103.375,413.5,413.5,Churner,0.35360448486568496
B,E,Unknown,Unknown,Nonchurner,34,2578,0.655895898904262,70.1927951432944,0.0,81,27,24,1,1,1.21428571428571,1.36,17.0,17.0,92.0714285714286,103.12,1289.0,1289.0,Churner,0.3029353115100197
C,F,Unknown,Unknown,Churner,21,1534,0.75955452531275,85.7794257972731,0.0,10,14,10,1,1,1.4,1.90909090909091,10.5,10.5,102.266666666667,139.454545454545,767.0,767.0,Churner,0.36274713289190014
D,E,Unknown,Unknown,Nonchurner,78,4711,0.497451130382316,51.0262450471894,1.46666666666667,3,60,37,1,1,1.27868852459016,2.05263157894737,39.0,39.0,77.2295081967213,123.973684210526,2355.5,2355.5,Nonchurner,0.7115793948198715
D,E,Unknown,Unknown,Churner,12,705,0.0,20.1590268524144,0.0,55,12,11,1,1,0.923076923076923,1.0,6.0,6.0,54.2307692307692,58.75,352.5,352.5,Churner,0.25485949390955376
H,F,Unknown,Unknown,Churner,16,1539,0.5222329678670941,109.278959132538,4.45454545454545,20,11,9,1,1,1.33333333333333,1.6,8.0,8.0,128.25,153.9,769.5,769.5,Churner,0.40416005495477003
E,E,Unknown,Unknown,Nonchurner,70,3491,0.449507359565659,36.728714755601,0.948275862068966,38,58,30,1,1,1.1864406779661,2.25806451612903,35.0,35.0,59.1694915254237,112.612903225806,1745.5,1745.5,Nonchurner,0.5804945291786194
D,D,Unknown,Unknown,Churner,30,5091,0.262265264156481,474.366794601083,0.0,63,28,27,1,1,1.03448275862069,1.07142857142857,15.0,15.0,175.551724137931,181.821428571429,2545.5,2545.5,Churner,0.33026327402602024
F,F,Unknown,Unknown,Nonchurner,39,3294,1.36381816969859,90.0327803550548,3.23076923076923,3,26,21,1,1,1.44444444444444,1.77272727272727,19.5,19.5,122.0,149.727272727273,1647.0,1647.0,Nonchurner,0.544589989385336
F,E,Unknown,Unknown,Churner,19,835,0.403112887414928,28.0005208284894,3.0,32,16,15,1,1,1.11764705882353,1.1875,9.5,9.5,49.1176470588235,52.1875,417.5,417.5,Churner,0.39412285083544624
D,A,Unknown,Unknown,Churner,16,2047,0.0,134.131014931919,0.0,58,16,15,1,1,0.941176470588235,1.0,8.0,8.0,120.411764705882,127.9375,1023.5,1023.5,Churner,0.2681534086342757
C,G,Unknown,Unknown,Nonchurner,136,15040,0.683469249431037,192.763037571011,0.654867256637168,17,113,70,1,1,1.19298245614035,1.91549295774648,68.0,68.0,131.929824561404,211.830985915493,7520.0,7520.0,Nonchurner,0.8718880920491581
C,G,Unknown,Unknown,Churner,8,2791,0.0,322.273813261775,0.0,74,8,8,1,1,0.888888888888889,0.888888888888889,4.0,4.0,310.111111111111,310.111111111111,1395.5,1395.5,Churner,0.18968122053818845
C,E,Unknown,Unknown,Churner,52,5498,0.672699972146017,90.7670066431052,0.822222222222222,16,45,31,1,1,1.1304347826087,1.625,26.0,26.0,119.521739130435,171.8125,2749.0,2749.0,Nonchurner,0.5564043694027286
G,E,Unknown,Unknown,Nonchurner,146,11096,0.501630023285318,173.140909733904,0.747967479674797,3,123,64,1,1,1.17741935483871,2.24615384615385,73.0,73.0,89.4838709677419,170.707692307692,5548.0,5548.0,Nonchurner,0.9041982660776138
G,C,Unknown,Unknown,Nonchurner,15,416,1.0,40.1739274212075,3.55555555555556,54,9,5,1,1,1.5,2.5,7.5,7.5,41.6,69.3333333333333,208.0,208.0,Churner,0.2959347560582097
A,E,Unknown,Unknown,Nonchurner,10,890,0.0,55.9940473026672,0.0,66,10,10,1,1,0.909090909090909,0.909090909090909,5.0,5.0,80.9090909090909,80.9090909090909,445.0,445.0,Churner,0.22420678735784594
B,F,Unknown,Unknown,Churner,13,804,2.40138848724372,171.952318972441,4.66666666666667,66,6,5,1,1,1.85714285714286,2.16666666666667,6.5,6.5,114.857142857143,134.0,402.0,402.0,Churner,0.27905983538164864
I,E,Unknown,Unknown,Nonchurner,11,721,0.534522483824849,102.454868112745,9.85714285714286,28,7,7,1,1,1.375,1.375,5.5,5.5,90.125,90.125,360.5,360.5,Churner,0.47127949801685
J,C,Unknown,Unknown,Nonchurner,17,757,0.5222329678670941,80.1171868974669,7.18181818181818,9,11,8,1,1,1.41666666666667,1.88888888888889,8.5,8.5,63.0833333333333,84.1111111111111,378.5,378.5,Churner,0.4902656187857743
H,E,Unknown,Unknown,Churner,23,1722,0.366347548532523,54.7365941289929,0.6,0,20,15,1,1,1.0952380952381,1.4375,11.5,11.5,82.0,107.625,861.0,861.0,Churner,0.43404852118151765
I,F,Unknown,Unknown,Churner,22,864,4.13118223595458,77.4674125035811,0.0,51,6,6,1,1,3.14285714285714,3.14285714285714,11.0,11.0,123.428571428571,123.428571428571,432.0,432.0,Churner,0.25434348178168037
A,E,Unknown,Unknown,Nonchurner,16,4352,1.15470053837925,1287.60915394903,0.0,77,3,3,1,1,4.0,4.0,8.0,8.0,1088.0,1088.0,2176.0,2176.0,Churner,0.170556210517745
F,D,Unknown,Unknown,Churner,39,3671,0.630753091443547,95.4437964436133,0.032258064516129,16,31,24,1,1,1.21875,1.56,19.5,19.5,114.71875,146.84,1835.5,1835.5,Churner,0.4664121444386762
E,G,Unknown,Unknown,Churner,25,936,0.514495755427527,39.6901602860131,2.41176470588235,1,17,12,1,1,1.38888888888889,1.92307692307692,12.5,12.5,52.0,72.0,468.0,468.0,Churner,0.4600703129994959
D,D,Unknown,Unknown,Churner,6,66,0.0,0.0,0.0,61,1,1,1,1,3.0,3.0,3.0,3.0,33.0,33.0,33.0,33.0,Churner,0.19243318512339375
F,F,Unknown,Unknown,Nonchurner,5,357,2.12132034355964,154.856385079854,0.0,49,2,2,1,1,1.66666666666667,1.66666666666667,2.5,2.5,119.0,119.0,178.5,178.5,Churner,0.21303271707414492
D,G,Unknown,Unknown,Churner,15,999,0.83452296039628,147.146610562391,0.0,1,8,6,1,1,1.66666666666667,2.14285714285714,7.5,7.5,111.0,142.714285714286,499.5,499.5,Churner,0.3473830951085212
G,E,Unknown,Unknown,Churner,2,18,0.0,0.0,0.0,75,1,1,1,1,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,Churner,0.16624888215755573
G,B,Unknown,Unknown,Churner,7,379,0.408248290463863,43.0182131970479,0.0,94,6,6,1,1,1.0,1.0,3.5,3.5,54.1428571428571,54.1428571428571,189.5,189.5,Churner,0.16266349327514373
F,E,Unknown,Unknown,Nonchurner,54,2870,0.834783871129682,54.9645857899149,1.88095238095238,8,42,29,1,1,1.25581395348837,1.8,27.0,27.0,66.7441860465116,95.6666666666667,1435.0,1435.0,Nonchurner,0.6076296293600691
D,E,Unknown,Unknown,Nonchurner,10,668,0.333333333333333,40.1490279389731,8.22222222222222,2,9,9,1,1,1.0,1.0,5.0,5.0,66.8,66.8,334.0,334.0,Nonchurner,0.5140439606902768
D,E,Unknown,Unknown,Nonchurner,15,1684,0.554700196225229,91.3195993791543,4.30769230769231,9,13,11,1,1,1.07142857142857,1.25,7.5,7.5,120.285714285714,140.333333333333,842.0,842.0,Churner,0.4372049405858806
E,H,Unknown,Unknown,Churner,42,2888,0.820601667542903,56.4943616941178,0.0,97,32,21,1,1,1.27272727272727,1.90909090909091,21.0,21.0,87.5151515151515,131.272727272727,1444.0,1444.0,Churner,0.2793523732388481
F,E,Unknown,Unknown,Nonchurner,37,4554,0.862965233777697,195.577248977125,1.92857142857143,21,28,23,1,1,1.27586206896552,1.54166666666667,18.5,18.5,157.034482758621,189.75,2277.0,2277.0,Churner,0.47090762354533167
B,E,Unknown,Unknown,Nonchurner,90,6930,0.236690534165575,78.4095761029854,1.08235294117647,5,85,56,1,1,1.04651162790698,1.57894736842105,45.0,45.0,80.5813953488372,121.578947368421,3465.0,3465.0,Nonchurner,0.8063226381052626
D,E,Unknown,Unknown,Churner,39,3571,0.490843579315079,80.9037099412509,0.0,37,32,24,1,1,1.18181818181818,1.56,19.5,19.5,108.212121212121,142.84,1785.5,1785.5,Churner,0.41618843182200993
B,E,Unknown,Unknown,Nonchurner,84,5988,0.959794619313883,90.7624440977287,1.54838709677419,1,62,28,1,1,1.33333333333333,2.89655172413793,42.0,42.0,95.0476190476191,206.48275862069,2994.0,2994.0,Nonchurner,0.6887191709161089
H,F,Unknown,Unknown,Churner,20,1604,0.487950036474267,83.6459090167481,3.33333333333333,4,15,10,1,1,1.25,1.81818181818182,10.0,10.0,100.25,145.818181818182,802.0,802.0,Churner,0.44137958871300026
F,F,Unknown,Unknown,Nonchurner,174,19423,1.13315024777365,268.011905501568,0.675675675675676,12,111,79,1,1,1.55357142857143,2.175,87.0,87.0,173.419642857143,242.7875,9711.5,9711.5,Nonchurner,0.9132870719984261
E,G,Unknown,Unknown,Churner,46,6036,0.62202349555181,223.767317169612,0.552631578947368,52,38,30,1,1,1.17948717948718,1.48387096774194,23.0,23.0,154.769230769231,194.709677419355,3018.0,3018.0,Churner,0.42551735038278826
C,G,Unknown,Unknown,Churner,34,3695,0.46820062223378,193.039506918991,0.0,37,29,22,1,1,1.13333333333333,1.47826086956522,17.0,17.0,123.166666666667,160.652173913043,1847.5,1847.5,Churner,0.38960834919274207
F,G,Unknown,Unknown,Churner,6,1546,1.0,333.946602518027,0.0,39,4,4,1,1,1.2,1.2,3.0,3.0,309.2,309.2,773.0,773.0,Churner,0.23459689243200912
A,F,Unknown,Unknown,Churner,24,3321,0.970142500145332,203.952200282321,3.72222222222222,18,18,16,1,1,1.26315789473684,1.41176470588235,12.0,12.0,174.789473684211,195.352941176471,1660.5,1660.5,Churner,0.4434703970684541
D,C,Unknown,Unknown,Churner,2,318,0.0,0.0,0.0,52,1,1,1,1,1.0,1.0,1.0,1.0,159.0,159.0,159.0,159.0,Churner,0.1993453516013044
F,F,Unknown,Unknown,Churner,7,1377,0.547722557505166,312.201537472191,0.0,52,5,5,1,1,1.16666666666667,1.16666666666667,3.5,3.5,229.5,229.5,688.5,688.5,Churner,0.21878318364448254
C,G,Unknown,Unknown,Churner,15,811,0.267261241912424,49.7864119332455,0.0,67,14,12,1,1,1.0,1.15384615384615,7.5,7.5,54.0666666666667,62.3846153846154,405.5,405.5,Churner,0.2431811759159976
D,D,Unknown,Unknown,Churner,7,660,0.5,132.44873221993,16.75,4,4,4,1,1,1.4,1.4,3.5,3.5,132.0,132.0,330.0,330.0,Nonchurner,0.6402050102757989
C,F,Unknown,Unknown,Nonchurner,48,5286,0.441726104299386,159.348107965533,2.1219512195122,7,41,31,1,1,1.14285714285714,1.5,24.0,24.0,125.857142857143,165.1875,2643.0,2643.0,Nonchurner,0.5898708592473254
F,C,Unknown,Unknown,Nonchurner,39,4128,1.77097815807074,163.96618276617,0.0,18,22,19,1,1,1.69565217391304,1.95,19.5,19.5,179.478260869565,206.4,2064.0,2064.0,Churner,0.418855022016059
B,C,Unknown,Unknown,Churner,13,1239,1.47196014438797,230.564307732138,3.83333333333333,17,6,6,1,1,1.85714285714286,1.85714285714286,6.5,6.5,177.0,177.0,619.5,619.5,Churner,0.3730590112668865
E,F,Unknown,Unknown,Nonchurner,16,1386,0.363136519601281,78.3601154434301,5.78571428571429,7,14,11,1,1,1.06666666666667,1.33333333333333,8.0,8.0,92.4,115.5,693.0,693.0,Churner,0.47861955999597866
F,C,Unknown,Unknown,Churner,1,66,0.0,0.0,0.0,11,1,1,1,1,0.5,0.5,0.5,0.5,33.0,33.0,33.0,33.0,Churner,0.2729815868816992
G,H,Unknown,Unknown,Churner,25,1323,1.43372087784044,163.827178589038,6.2,27,10,8,1,1,2.27272727272727,2.77777777777778,12.5,12.5,120.272727272727,147.0,661.5,661.5,Churner,0.43843749886951294
D,E,Unknown,Unknown,Nonchurner,12,906,0.0,56.9090182979496,5.91666666666667,9,12,12,1,1,0.923076923076923,0.923076923076923,6.0,6.0,69.6923076923077,69.6923076923077,453.0,453.0,Churner,0.4715328829069852
D,C,Unknown,Unknown,Churner,13,868,1.76776695296637,111.425824141957,4.375,19,8,7,1,1,1.44444444444444,1.625,6.5,6.5,96.4444444444444,108.5,434.0,434.0,Churner,0.38917713189305
C,G,Unknown,Unknown,Churner,5,447,0.0,37.5606176733024,0.0,66,5,5,1,1,0.833333333333333,0.833333333333333,2.5,2.5,74.5,74.5,223.5,223.5,Churner,0.19720301628580417
E,E,Unknown,Unknown,Nonchurner,139,9212,0.607307995088549,52.2863049176426,0.660377358490566,10,106,57,1,1,1.29906542056075,2.39655172413793,69.5,69.5,86.0934579439252,158.827586206897,4606.0,4606.0,Nonchurner,0.8709829125998552
I,E,Unknown,Unknown,Nonchurner,50,3446,1.13063040961789,102.538170232747,3.24137931034483,0,29,19,1,1,1.66666666666667,2.5,25.0,25.0,114.866666666667,172.3,1723.0,1723.0,Nonchurner,0.5733103442365802
D,F,Unknown,Unknown,Nonchurner,10,1573,0.333333333333333,233.867899559654,0.0,11,9,9,1,1,1.0,1.0,5.0,5.0,157.3,157.3,786.5,786.5,Churner,0.32413674221327077
B,F,Unknown,Unknown,Churner,4,305,0.0,39.9364077837087,0.0,69,4,4,1,1,0.8,0.8,2.0,2.0,61.0,61.0,152.5,152.5,Churner,0.18771986722766323
J,E,Unknown,Unknown,Nonchurner,58,4405,0.322602539032236,64.1512723693485,1.05769230769231,39,52,36,1,1,1.09433962264151,1.56756756756757,29.0,29.0,83.1132075471698,119.054054054054,2202.5,2202.5,Nonchurner,0.5618635475455692
C,F,Unknown,Unknown,Churner,6,203,0.447213595499958,25.7643164085524,0.0,41,5,5,1,1,1.0,1.0,3.0,3.0,33.8333333333333,33.8333333333333,101.5,101.5,Churner,0.2432559306985576
E,G,Unknown,Unknown,Churner,3,204,0.0,22.6053091109146,0.0,59,3,2,1,1,0.75,1.0,1.5,1.5,51.0,68.0,102.0,102.0,Churner,0.19544471114327502
E,F,Unknown,Unknown,Churner,17,1185,1.25166555703457,85.3063108255577,0.0,82,10,10,1,1,1.54545454545455,1.54545454545455,8.5,8.5,107.727272727273,107.727272727273,592.5,592.5,Churner,0.20689639871944912
J,E,Unknown,Unknown,Churner,32,1984,1.20909253653505,116.91690170699,3.33333333333333,17,21,15,1,1,1.45454545454545,2.0,16.0,16.0,90.1818181818182,124.0,992.0,992.0,Churner,0.4682814289456891
E,G,Unknown,Unknown,Nonchurner,77,4472,0.539832057952889,63.7167591519327,1.25,14,64,46,1,1,1.18461538461538,1.63829787234043,38.5,38.5,68.8,95.1489361702128,2236.0,2236.0,Nonchurner,0.7247271926934313
B,E,Unknown,Unknown,Churner,21,1395,0.514495755427527,49.002100795302,3.72222222222222,23,18,13,1,1,1.10526315789474,1.5,10.5,10.5,73.4210526315789,99.6428571428571,697.5,697.5,Churner,0.4250797567854893
I,E,Unknown,Unknown,Nonchurner,74,4207,0.422728561566347,61.3962393627273,1.47619047619048,1,63,29,1,1,1.15625,2.46666666666667,37.0,37.0,65.734375,140.233333333333,2103.5,2103.5,Nonchurner,0.6841227478098243
H,E,Unknown,Unknown,Nonchurner,465,40135,0.786716611107947,190.649140836945,0.262032085561497,0,374,161,1,1,1.24,2.87037037037037,232.5,232.5,107.026666666667,247.746913580247,20067.5,20067.5,Nonchurner,0.9996547471965695
A,E,Unknown,Unknown,Churner,55,5657,0.389050824723052,76.2558908173902,0.510204081632653,72,49,33,1,1,1.1,1.61764705882353,27.5,27.5,113.14,166.382352941176,2828.5,2828.5,Churner,0.4320951709830846
F,H,Unknown,Unknown,Nonchurner,17,1435,1.36422546197874,114.631050670304,7.88888888888889,6,9,7,1,1,1.7,2.125,8.5,8.5,143.5,179.375,717.5,717.5,Churner,0.49880143421653833
D,E,Unknown,Unknown,Nonchurner,98,5636,1.49866897888522,126.756572185282,1.41509433962264,17,53,27,1,1,1.81481481481481,3.5,49.0,49.0,104.37037037037,201.285714285714,2818.0,2818.0,Nonchurner,0.6654641156343163
C,C,Unknown,Unknown,Churner,37,2536,0.818923024853326,84.8163281674556,0.285714285714286,16,28,19,1,1,1.27586206896552,1.85,18.5,18.5,87.448275862069,126.8,1268.0,1268.0,Churner,0.4472801926161507
I,E,Unknown,Unknown,Nonchurner,6,220,0.447213595499958,31.3608035611334,6.0,23,5,4,1,1,1.0,1.2,3.0,3.0,36.6666666666667,44.0,110.0,110.0,Churner,0.38165566023468467
D,E,Unknown,Unknown,Churner,39,2966,0.162221421130763,87.4491195290218,0.789473684210526,38,38,28,1,1,1.0,1.3448275862069,19.5,19.5,76.0512820512821,102.275862068966,1483.0,1483.0,Churner,0.4628964164890151
D,E,Unknown,Unknown,Churner,26,1672,0.732695097065047,57.3643938712031,0.4,68,20,16,1,1,1.23809523809524,1.52941176470588,13.0,13.0,79.6190476190476,98.3529411764706,836.0,836.0,Churner,0.2856174107570787
K,C,Unknown,Unknown,Churner,16,4352,1.15470053837925,1287.60915394903,0.0,77,3,3,1,1,4.0,4.0,8.0,8.0,1088.0,1088.0,2176.0,2176.0,Churner,0.170556210517745
